population	population_name	superpopulation
SIB	Siberian	EAS
GBR	British in England and Scotland	EUR
FIN	Finnish in Finland	EUR
CHS	Southern Han Chinese	EAS
PUR	Puerto Rican from Puerto Rico	AMR
CDX	Chinese Dai in Xishuangbanna, China	EAS
CLM	Colombian from Medellin, Colombia	AMR
IBS	Iberian population in Spain	EUR
PEL	Peruvian from Lima, Peru	AMR
PJL	Punjabi from Lahore, Pakistan	SAS
KHV	Kinh in Ho Chi Minh City, Vietnam	EAS
ACB	African Caribbean in Barbados	AFR
GWD	Gambian in Western Division, Gambia	AFR
ESN	Esan in Nigeria	AFR
BEB	Bengali from Bangladesh	SAS
MSL	Mende in Sierra, Leone	AFR
STU	Sri Lankan Tamil from the UK	SAS
ITU	Indian Telugu from the UK	SAS
CEU	Utah Residents (CEPH) with Northern and Western European ancestry	EUR
YRI	Yoruba in Ibadan, Nigeria	AFR
CHB	Han Chinese in Beijing, China	EAS
JPT	Japanese in Tokyo, Japan	EAS
LWK	Luhya in Webuye, Kenya	AFR
ASW	American's of African Ancestry in SW, USA	AFR
MXL	Mexican Ancestry from Los Angeles, USA	AMR
TSI	Toscani in Italia	EUR
GIH	Gujarati Indian from Houston, Texas	SAS
